,0
abstract,24
the,252
midbrain,2
periaqueductal,2
gray,2
pag,9
is,29
a,75
key,3
structure,1
involved,2
in,165
supraspinal,2
modulation,2
of,230
pain,3
previous,2
studies,11
have,13
reported,8
association,9
gut,3
inflammation-triggered,1
chronic,7
abdominal,3
with,107
structural,2
and,249
neuronal,3
alterations,1
within,1
however,7
whether,4
pag-executed,1
visceral,6
nociception,2
processing,4
descending,3
are,13
altered,2
pathology,2
not,21
known,2
we,38
used,6
c-fos,3
immunohistochemistry,1
extracellular,2
microelectrode,2
recording,2
urethane-anesthetized,1
male,2
wistar,1
rats,2
to,100
evaluate,2
colitis-induced,1
changes,8
pain-related,2
properties,2
its,8
outflow,1
nociceptive,1
neurons,3
caudal,1
ventrolateral,4
medulla,1
cvlm,2
analysis,17
protein,2
expression,2
inflamed,1
animals,3
has,7
shown,5
diminished,1
activation,4
lateral,1
columns,1
by,37
noxious,1
colorectal,1
distension,1
crd,1
although,4
nonstimulated,1
labeling,1
these,11
subdivisions,1
was,49
enhanced,2
compared,12
that,24
controls,6
revealed,3
colitis-elicited,1
decrease,2
proportion,1
crd-excited,2
accompanied,1
an,13
increase,3
number,4
unresponsive,1
cells,6
weakened,1
reactions,2
stimulation,5
crd-inhibited,1
units,1
colonic,1
inflammation,1
also,7
been,8
found,5
cause,2
shift,1
effects,10
electrostimulation,1
on,33
from,21
being,1
mostly,1
inhibitory,1
under,3
normal,2
conditions,2
excitatory,1
colitis,2
findings,7
identify,2
impaired,2
functioning,1
ascending,1
control,3
may,4
contribute,3
injury-associated,1
hyperalgesia,1
data,27
obtained,4
can,6
benefit,1
better,3
understanding,2
mechanisms,4
pathogenesis,3
postinflammatory,1
background,9
hiv-positive,4
people,2
who,13
inject,1
drugs,1
pwid,4
stigmatized,1
face,1
more,8
challenges,1
accessing,1
art,14
natural,1
course,2
stigma,12
role,4
initiation,9
this,22
population,5
unclear,1
examined,2
1,4
hiv,12
over,4
time,8
2,6
substance,3
use,17
associated,15
prospective,5
cohort,5
st,2
petersburg,2
russia,3
methods,12
165,1
were,72
art-naïve,2
at,10
enrollment,1
andgeneralized,1
estimating,1
equations,1
assess,2
between,17
baseline,1
12-,1
24-month,1
study,22
visits,1
logistic,2
regression,4
estimated,2
associations,2
all,10
models,3
adjusted,1
for,55
gender,2
age,9
cd4,2
count,2
duration,1
diagnosis,2
recent,2
past,1
30-day,1
drug,3
depressive,1
symptoms,3
results,18
participants,4
characteristics,2
following,1
median,5
34,2
q1,2
q3,2
30,2
37,2
years,9
30%,1
female,1
28%,1
350,1
44%,1
during,12
period,4
31%,1
initiated,1
85,1
468,1
1361,2
scores,3
decreased,2
yearly,1
057,1
95%,2
ci,2
-136,1
022,1
than,6
half,1
27/47,1
574%,1
eligible,2
per,1
local,1
guidelines,1
did,3
initiate,1
therapy,6
total,5
aor,2
099,1
95%ci,2
094–104,1
101,1
096–105,1
respectively,10
conclusion,3
russian,4
change,2
addressing,1
alone,1
unlikely,1
rates,2
reducing,1
further,6
existing,2
barriers,3
eg,1
promoting,2
equal,1
access,1
value,1
substance-use,1
treatment,9
success,1
should,5
complement,1
stigma-reduction,1
approaches,1
introduction,2
alcohol,10
prevalent,1
among,13
women,22
hepatitis,2
c,2
virus,2
hcv,1
co-infection,4
despite,3
alcohol's,1
harmful,1
health,10
identifying,1
factors,6
facilitate,1
continued,1
unhealthy,4
critical,1
developing,1
effective,2
reduction,2
interventions,2
assessed,4
situational,5
motivational,5
hiv/hcv,3
co-infected,1
clinical,20
care,2
guided,1
model,8
conducted,1
semi-structured,1
interviews,2
living,2
drinking,7
facilitators,2
abstaining,1
recorded,2
analyzed,4
using,7
thematic,1
approach,8
awareness,1
risks,2
many,2
heavy,1
episodic,1
particularly,1
social,2
situations,3
motive,1
coping,2
negative,2
emotions,1
triggered,1
stressful,1
such,4
as,19
work-,1
family-related,1
conflicts,1
included,8
family,4
friends,1
endorsed,1
motives,1
most,2
motivated,1
stop,2
concerns,1
cited,1
reasons,1
few,1
their,8
doctors,1
recommended,3
they,5
abstain,1
conclusions,6
several,1
identified,8
well,6
some,6
opportunities,1
prevention,3
awareness-raising,1
training,1
regarding,1
adverse,3
consequences,2
persons,1
include,2
clinicians,1
patients,54
relatives,1
covid-19,6
pandemic,6
various,4
degrees,2
lockdown,7
applied,2
countries,6
around,1
world,1
it,6
considered,1
measures,2
effect,8
mental,6
but,10
relationship,6
measure,1
intensity,1
thoroughly,1
studied,3
here,4
report,2
larger,1
comet-g,2
pertaining,1
question,1
material,2
gathered,1
online,1
