,0
abstract,33
lysosomal,4
integral,1
membrane,1
protein ,1
limp ,1
encoded,1
by,36
the,443
scarb,8
gene,4
is,46
specific,5
receptor,2
for,71
glucocerebrosidase,4
enzyme,4
association,5
between,16
rs,16
and,295
of,360
with,142
pd,27
has,4
been,5
shown,6
in,280
genetic,3
studies,8
including,8
large,4
genome wide,1
aim,3
current,2
study,37
was,92
to,131
determine,1
whether,2
are,19
associated,12
russia,5
were,70
genotyped,1
a,101
total,2
,351
patients,115
positive,3
fpd,2
negative,4
family,2
history,3
spd,2
controls,6
also,13
gba,5
mutations,4
pd gba,1
asymptomatic,1
mutation,1
carriers,1
gba carriers,3
expression,13
measured,4
real time,3
pcr,1
cd,2
blood,9
cells,13
part,1
individuals,3
studied,7
groups,8
no,21
linkage,1
disequilibrium,1
russian,2
population,14
increased,11
risk,11
tt,1
variant,1
or,39
p,5
found,6
but,11
not,20
age,7
at,31
onset,3
aao,2
level,8
decreased,6
gba pd,5
compared,12
padjusted,3
respectively,8
significant,9
difference,5
modified,2
conclusion,6
status,7
modifier,1
do,2
influence,2
on,45
mrna,2
could,8
be,19
independent,3
buspirone,9
partial,1
agonist,5
 htar,3
due,6
potential,6
antinociceptive,1
properties,3
can,7
useful,1
abdominal,5
pain,14
treatment,23
ibs,1
pain related,5
effects,14
mediated,2
 htars,1
located,2
within,9
nucleus,2
tractus,2
solitarius,2
involvement,2
transmission,5
nts,7
unclear,1
objective,10
our,9
evaluate,5
using,25
model,8
urethane anesthetized,1
rats,11
two,6
types,4
neurons,14
responding,2
noxious,1
colorectal,1
distension,1
crd,1
excitatory,4
inhibitory,6
sustained,1
patterns,8
evoked,4
activity,11
revealed,6
– mg kg−,1
iv,1
complex,4
time ,1
dose depended,1
action,3
crd induced,1
neuron,2
responses,15
inhibits,1
inverts,1
dose,8
effect,13
attenuates,1
crd evoked,1
completely,2
blocked,1
an,28
intra cerebroventricular,1
administration,1
way,1
change,3
this,32
supraspinal,1
 hta,1
receptors,6
however,9
its,12
does,1
dependents,1
these,15
we,35
proposed,3
that,33
involved,7
anti ,1
pronociceptive,1
background,7
microrna,1
mirnas,1
participate,1
pathogenesis,3
coronary,5
artery,5
disease,24
cad,2
expressions,5
myocardial,8
serum,8
mirna а,7
mirna ,9
method,5
cross sectional,5
observational,2
comprised,2
subjects,3
   years,1
men,1
right,2
atrial,2
mirna a,4
mirna,3
 a,1
referred,1
elective,1
bypass,2
graft,2
surgery,9
cabg,2
control,4
scheduled,1
heart,1
valve,1
analyzed,4
polymerase,1
chain,1
reaction,6
results,16
there,6
correlation,1
syntax,1
score,2
i,2
index,4
r  ,1
p  ,18
≥,3
lesions,2
had,9
significantly,5
higher,7
than,8
–,25
vessel,1
myocardium,1
  ,12
vs,8
relative,1
unit,1
reu,7
р  ,2
same,4
decision,1
tree,1
established,1
multivessel,1
five fold,1
if,3
ci,7
conclusions,5
both,9
non cad,1
corresponds,1
strongly,1
correlated,1
extent,2
atherosclerosis,1
series,3
binuclear,4
pdii,1
carbene,2
complexes,3
synthesized,1
via,3
cis pdclcnxyl,1
benzo  thiazol  amines,1
structurally,1
characterized,6
every,3
case,1
leads,1
mixture,1
regioisomers,1
which,8
able,1
interconvert,1
regioisomerization,3
diaminocarbene,1
species,2
showed,7
it,7
first order,1
occurs,1
intramolecularly,1
hammett,1
function,6
electron withdrawing,1
substituents,1
benzothiazole,1
moiety,1
as,23
well,5
increasing,2
solvent,2
polarity,1
accelerate,1
donor,5
strength,1
correlates,2
less,3
isomerization,2
rates,3
based,10
obtained,4
activation,6
parameters,4
defined,2
interchange/dissociative,1
process,1
type,7
combined,1
approach,3
kinetic,1
mass,2
spectrometric,1
allowed,1
rate determining,1
step,2
breaking,1
carbon–nitrogen,1
bond,1
fragment,1
aims,3
diabetes,4
mellitus,4
tdm,16
ranks,1
top,1
causes,2
mortality,4
worldwide,4
key,6
factor,4
vascular,13
complications,3
endothelial,2
dysfunction,3
vessels,3
motor,1
disruption,1
endothelium derived,1
factors,3
imbalance,1
morphological,1
molecular,4
heterogeneity,1
greatly,1
affects,1
changes,8
occurring,4
therefore,1
conducted,2
comparative,1
bed,1
main,3
methods,9
male,1
wistar,1
fed,3
high fat,1
diet,1
 weeks,1
followed,2
single,1
streptozotocin,1
injection,1
 mg/kg,1
confirmed,2
oral,4
glucose,5
tolerance,2
test,2
findings,7
dose dependent,1
contraction,1
increase,9
third order,1
mesenteric,3
arterioles,1
response,13
serotonin,1
phenylephrine,1
exhibited,1
decrease,2
acetylcholine dependent,2
relaxation,2
guanylate,1
cyclase,1
time,8
femoral,2
arteries,3
tendency,1
plasma,1
analysis,14
low,7
bioavailable,1
nitric,5
oxide,5
high,9
levels,9
endothelin ,1
ros,1
significance,2
knowledge,1
conjunction,1
features,2
course,2
allow,1
further,5
targeted,2
approaches,1
development,5
prevention,3
lorlatinib,7
novel,3
potent,1
alk,4
inhibitor,3
only,9
few,1
reporting,4
clinical,9
use,24
describes,1
outcomes,13
non small,1
cell,7
lung,6
cancer,11
rearrangements,2
who,9
n  ,5
none,2
prior,2
tyrosine,1
kinase,1
inhibitors,3
received,11
mainly,3
compassionate,1
program,1
tumor,1
dc,2
registered,2
/,6
brain,10
metastases,1
particularly,2
responsive,1
median,13
progression,1
free,4
survival,16
pfs,3
estimated,5
months,13
overall,6
os,3
approached,1
out,2
experienced,2
adverse,8
them,4
benefit,3
from,30
no adverse events,1
users,1
strikingly,1
lower,4
remaining,1
reached,1
comparisons,1
translocation,4
variants,3
known,2
statistical,2
v,3
regard,1
excellent,1
caution,1
must,1
taken,3
experiencing,1
drug,2
three,6
bariatric,8
interventions,5
infarct,4
size,9
tested,2
rat,3
evaluated,4
no reflow,3
phenomenon,1
